accuracy,macro_f1,neutral_f1,negative_f1,negative_recall,positive_f1,feature_group,fold
0.700594353640416,0.5403569359299741,0.4292845257903494,0.36283185840707965,0.45054945054945056,0.8289544235924933,Text-only,1
0.725111441307578,0.5789998780018678,0.4744645799011532,0.4200913242009132,0.5054945054945055,0.842443729903537,Text-only,2
0.7154531946508172,0.557658986451988,0.43521594684385384,0.39805825242718446,0.45054945054945056,0.8397027600849257,Text-only,3
0.7154531946508172,0.5614111324384211,0.43316412859560066,0.4131455399061033,0.4835164835164835,0.8379237288135594,Text-only,4
0.7221396731054978,0.5513196554708096,0.4560810810810811,0.35294117647058826,0.391304347826087,0.8449367088607594,Text-only,5
0.7057949479940565,0.5452782686665119,0.42546063651591287,0.3739130434782609,0.4725274725274725,0.8364611260053619,Text + lexicon,1
0.725111441307578,0.5752032821762924,0.48092868988391374,0.4017857142857143,0.4945054945054945,0.8428954423592493,Text + lexicon,2
0.7280832095096582,0.5675468687420514,0.45840407470288624,0.3961352657004831,0.45054945054945056,0.8481012658227848,Text + lexicon,3
0.7139673105497771,0.5665827209883368,0.4451939291736931,0.42201834862385323,0.5054945054945055,0.8325358851674641,Text + lexicon,4
0.7325408618127786,0.5771526913267473,0.4791666666666667,0.4055299539170507,0.4782608695652174,0.8467614533965245,Text + lexicon,5
0.8410104011887073,0.7306193566489988,0.6499162479061976,0.6169154228855721,0.6813186813186813,0.925026399155227,Text + aspect,1
0.836552748885587,0.7424827747025479,0.6536585365853659,0.6596858638743456,0.6923076923076923,0.9141039236479321,Text + aspect,2
0.836552748885587,0.7329347784586062,0.6365159128978225,0.6428571428571429,0.6923076923076923,0.919431279620853,Text + aspect,3
0.8528974739970282,0.7537944618236588,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.9280500521376434,Text + aspect,4
0.8194650817236255,0.7246070693439114,0.6136363636363636,0.6564102564102564,0.6956521739130435,0.9037745879851143,Text + aspect,5
0.8469539375928677,0.7431692759337404,0.6598984771573604,0.6432160804020101,0.7032967032967034,0.9263932702418507,Text + lexicon + aspect,1
0.8380386329866271,0.7436782121342477,0.6523887973640856,0.6632124352331606,0.7032967032967034,0.9154334038054969,Text + lexicon + aspect,2
0.8410104011887073,0.7426642726302631,0.6479338842975206,0.6595744680851063,0.6813186813186813,0.9204844655081622,Text + lexicon + aspect,3
0.8558692421991084,0.753832326219642,0.6701754385964912,0.66,0.7252747252747253,0.931321540062435,Text + lexicon + aspect,4
0.8224368499257058,0.7330554409116395,0.6178861788617886,0.676923076923077,0.717391304347826,0.9043570669500531,Text + lexicon + aspect,5
0.8439821693907875,0.7488485538800047,0.6531302876480541,0.6697674418604651,0.7912087912087912,0.9236479321314952,Aspect ratings only,1
0.8291233283803864,0.7430396508250591,0.6401273885350318,0.6798029556650246,0.7582417582417582,0.9091886082751209,Aspect ratings only,2
0.8313521545319466,0.732509581796806,0.6241610738255033,0.6571428571428571,0.7582417582417582,0.9162248144220573,Aspect ratings only,3
0.8417533432392273,0.7393118772442175,0.6390328151986183,0.6542056074766355,0.7692307692307693,0.9246972090573986,Aspect ratings only,4
0.8224368499257058,0.730087159372175,0.6199021207177814,0.6635071090047393,0.7608695652173914,0.9068522483940042,Aspect ratings only,5
