feature_group,macro_f1,macro_f1_std,neutral_f1,neutral_f1_std,negative_f1,negative_f1_std,negative_recall,negative_recall_std,accuracy,accuracy_std
Text-only,0.5579493176586121,0.012717223440317359,0.4456420524424076,0.017156237044765325,0.38941363028237375,0.026891948288132694,0.4562828475871954,0.03860416380211942,0.7157503714710253,0.00846562825155669
Text + lexicon,0.5663527663799879,0.011318862329444282,0.45783079938861454,0.020959858566600324,0.3998764652010724,0.015581822804131023,0.4802675585284281,0.01890089599920465,0.7210995542347697,0.00980683506686475
Text + aspect,0.7368876881955446,0.010226192474993236,0.6440787455384832,0.01799998924840334,0.6485070705387967,0.017590625816829315,0.6951743908265647,0.010713426788857307,0.837295690936107,0.010735448361479013
Text + lexicon + aspect,0.7432799055659065,0.0065794095490261766,0.6496565552554493,0.017582440650674748,0.6605852121286707,0.010741312219429233,0.7061156235069279,0.014999954154363808,0.8408618127786033,0.011043628039264215
Aspect ratings only,0.7387593646236525,0.006851055237243764,0.6352707371849978,0.011969317675928726,0.6648851942299443,0.009189912119701224,0.7675585284280937,0.01249382216251125,0.8337295690936107,0.008048500780951469
